disease id	disease label	genes	phenotypes	labels
MONDO:0008021	Cowden syndrome 1	1	39	PTEN
MONDO:0013430	Meier-Gorlin syndrome 3	1	39	ORC6
MONDO:0010224	corpus callosum agenesis-abnormal genitalia syndrome	1	39	ARX
MONDO:0017125	oculofaciocardiodental syndrome	1	39	BCOR
MONDO:0010079	Canavan disease	1	39	ASPA
MONDO:0024535	Singleton-Merten syndrome 1	1	39	IFIH1
MONDO:0008287	Greig cephalopolysyndactyly syndrome	1	39	GLI3
MONDO:0010992	AymC)-Gripp syndrome	1	39	MAF
MONDO:0012495	spondyloepimetaphyseal dysplasia, GeneviC(ve type	1	39	NANS
MONDO:0011330	spinocerebellar ataxia type 10	1	39	ATXN10
MONDO:0009104	Donnai-Barrow syndrome	1	39	LRP2
MONDO:0008251	pityriasis rubra pilaris	1	39	CARD14
MONDO:0009653	mucolipidosis type IV	1	39	MCOLN1
MONDO:0009643	sulfite oxidase deficiency due to molybdenum cofactor deficiency type A	1	39	MOCS1
MONDO:0044319	intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies	1	39	OTUD6B
MONDO:0014349	pontocerebellar hypoplasia type 10	1	39	CLP1
MONDO:0010626	X-linked hyper-IgM syndrome	1	39	CD40LG
MONDO:0009863	BH4-deficient hyperphenylalaninemia A	1	39	PTS
MONDO:0011638	neuroferritinopathy	1	39	FTL
MONDO:0008476	spondyloepimetaphyseal dysplasia, Strudwick type	1	39	COL2A1
MONDO:0008670	Waardenburg syndrome type 1	1	39	PAX3
MONDO:0011275	acromesomelic dysplasia, Maroteaux type	1	39	NPR2
MONDO:0009278	hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency	1	39	HADH
MONDO:0009530	lipoid proteinosis	1	39	ECM1
MONDO:0013737	hereditary spastic paraplegia 46	1	39	GBA2
MONDO:0014780	hyperphosphatasia with intellectual disability syndrome 6; HPMRS6	1	39	PIGY
MONDO:0015012	mucopolysaccharidosis-like syndrome with congenital heart defects and hematopoietic disorders	1	39	VPS33A
MONDO:0013357	chromosome 17q11.2 deletion syndrome, 1.4Mb	1	38	NF1
MONDO:0014658	severe achondroplasia-developmental delay-acanthosis nigricans syndrome	1	38	FGFR3
MONDO:0009768	oculodentodigital dysplasia, autosomal recessive	1	38	GJA1
MONDO:0010998	ALG3-CDG	1	38	ALG3
MONDO:0010337	X-linked intellectual disability-cerebellar hypoplasia syndrome	1	38	OPHN1
MONDO:0018576	non-progressive predominantly posterior cavitating leukoencephalopathy with peripheral neuropathy	1	38	APOPT1
MONDO:0014863	macrocephaly, dysmorphic facies, and psychomotor retardation; MDFPMR	1	38	HERC1
MONDO:0010408	syndactyly-telecanthus-anogenital and renal malformations syndrome	1	38	CCNQ
MONDO:0008918	carnitine-acylcarnitine translocase deficiency	1	38	SLC25A20
MONDO:0011529	spinocerebellar ataxia type 13	1	38	KCNC3
MONDO:0012639	hereditary spastic paraplegia 18	1	38	ERLIN2
MONDO:0012555	Cornelia de Lange syndrome 3	1	38	SMC3
MONDO:0009903	postaxial acrofacial dysostosis	1	38	DHODH
MONDO:0010078	spondyloperipheral dysplasia-short ulna syndrome	1	38	COL2A1
MONDO:0010959	van den Ende-Gupta syndrome	1	38	SCARF2
MONDO:0013225	congenital generalized lipodystrophy type 4	1	38	CAVIN1
MONDO:0014833	heart and brain malformation syndrome; HBMS	1	38	SMG9
MONDO:0008519	multiple synostoses syndrome 1	1	38	NOG
MONDO:0009431	hereditary hypophosphatemic rickets with hypercalciuria	1	38	SLC34A3
MONDO:0007044	acrodysostosis 1 with or without hormone resistance	1	38	PRKAR1A
MONDO:0019863	acro-renal-ocular syndrome	1	38	SALL4
MONDO:0014751	palatal anomalies-widely spaced teeth-facial dysmorphism-developmental delay syndrome	1	38	KDM1A
MONDO:0010966	achondrogenesis type IB	1	37	SLC26A2
MONDO:0014109	NGLY1-deficiency	1	37	NGLY1
MONDO:0012552	multiple endocrine neoplasia type 4	1	37	CDKN1B
MONDO:0009770	3MC syndrome 1	1	37	MASP1
MONDO:0007352	renal coloboma syndrome	1	37	PAX2
MONDO:0007252	Gordon syndrome	1	37	PIEZO2
MONDO:0018656	tremor-ataxia-central hypomyelination syndrome	1	37	POLR3A
MONDO:0007072	ADULT syndrome	1	37	TP63
MONDO:0008115	Feingold syndrome type 1	1	37	MYCN
MONDO:0014894	Meier-Gorlin syndrome 7; MGORS7	1	37	CDC45
MONDO:0008070	nemaline myopathy 3	1	37	ACTA1
MONDO:0008215	adult-onset autosomal dominant demyelinating leukodystrophy	1	37	LMNB1
MONDO:0008535	telangiectasia, hereditary hemorrhagic, of Rendu, Osler, and Weber	1	37	ENG
MONDO:0014722	Roifman syndrome	1	37	RNU4ATAC
MONDO:0008157	Buschke-Ollendorff syndrome	1	37	LEMD3
MONDO:0013169	chromosome 5p13 duplication syndrome	1	37	NIPBL
MONDO:0009249	hereditary fructose intolerance	1	37	ALDOB
MONDO:0009419	Woodhouse-Sakati syndrome	1	37	DCAF17
MONDO:0008955	cerebrooculofacioskeletal syndrome 1	1	37	PGBD3
MONDO:0009664	mulibrey nanism	1	37	TRIM37
MONDO:0024564	cerebroretinal microangiopathy with calcifications and cysts 1	1	37	CTC1
MONDO:0012004	parathyroid gland carcinoma	1	37	CDC73
MONDO:0009849	hyperimmunoglobulinemia d with periodic fever	1	37	MVK
MONDO:0009949	pyruvate carboxylase deficiency disease	1	37	PC
MONDO:0007167	atelosteogenesis type I	1	37	FLNB
MONDO:0009977	Knobloch syndrome	1	37	COL18A1
MONDO:0008406	autosomal recessive Emery-Dreifuss muscular dystrophy	1	37	LMNA
MONDO:0024506	Adams-Oliver syndrome 1	1	37	ARHGAP31
MONDO:0012634	craniofacial dysplasia-osteopenia syndrome	1	37	IRX5
MONDO:0010099	Tay-Sachs disease AB variant	1	37	GM2A
MONDO:0011724	encephalopathy due to GLUT1 deficiency	1	37	SLC2A1
MONDO:0013894	short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome	1	36	POC1A
MONDO:0010370	Cornelia de Lange syndrome 2	1	36	SMC1A
MONDO:0009874	Rabson-Mendenhall syndrome	1	36	INSR
MONDO:0009837	choroid plexus papilloma	1	36	TP53
MONDO:0014776	spinocerebellar ataxia type 42	1	36	CACNA1G
MONDO:0009659	mucopolysaccharidosis type 4A	1	36	GALNS
MONDO:0009612	methylmalonic aciduria due to methylmalonyl-CoA mutase deficiency	1	36	MUT
MONDO:0019661	Pfeiffer syndrome type 3	1	36	FGFR2
MONDO:0013886	nonprogressive cerebellar atxia with mental retardation	1	36	CAMTA1
MONDO:0008702	achondrogenesis type II	1	36	COL2A1
MONDO:0012241	progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 3	1	36	TWNK
MONDO:0014888	MIRAGE syndrome	1	36	SAMD9
MONDO:0009211	congenital factor VII deficiency	1	36	F7
MONDO:0024528	progressive external ophthalmoplegia with mitochondrial dna deletions, autosomal dominant 1	1	36	POLG
MONDO:0007369	hereditary coproporphyria	1	36	CPOX
MONDO:0007862	Waardenburg syndrome type 3	1	36	PAX3
MONDO:0007294	central core myopathy	1	36	RYR1
MONDO:0007160	Stickler syndrome type 1	1	36	COL2A1
MONDO:0009660	mucopolysaccharidosis type 4B	1	36	GLB1
MONDO:0014047	Cowden syndrome 5	1	36	PIK3CA
MONDO:0014196	Hartsfield-Bixler-Demyer syndrome	1	36	FGFR1
MONDO:0010576	X-linked mixed deafness with perilymphatic gusher	1	36	POU3F4
MONDO:0024526	Zimmermann-Laband syndrome 1	1	36	KCNH1
MONDO:0014741	facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation	1	36	WAC
MONDO:0012873	Ehlers-Danlos syndrome, spondylocheirodysplastic type	1	36	SLC39A13
MONDO:0014702	autosomal recessive complex spastic paraplegia type 9B	1	36	ALDH18A1
MONDO:0007698	hand-foot-genital syndrome	1	36	HOXA13
MONDO:0009725	nemaline myopathy 2	1	36	NEB
MONDO:0014048	Cowden syndrome 6	1	36	AKT1
MONDO:0009823	primary hyperoxaluria type 1	1	36	AGXT
MONDO:0013276	Reynolds syndrome	1	36	LBR
MONDO:0010248	X-linked spondyloepimetaphyseal dysplasia	1	36	BGN
MONDO:0012652	autosomal recessive limb-girdle muscular dystrophy type 2L	1	36	ANO5
MONDO:0014601	autosomal recessive spinocerebellar ataxia 20	1	36	SNX14
MONDO:0008209	Char syndrome	1	36	TFAP2B
MONDO:0008814	hyperargininemia	1	36	ARG1
MONDO:0012212	Loeys-Dietz syndrome 1	1	36	TGFBR1
MONDO:0008641	retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations	1	36	TREX1
MONDO:0010461	syndromic X-linked intellectual disability Nascimento type	1	35	UBE2A
MONDO:0016028	erythromelalgia	1	35	SCN9A
MONDO:0013060	autosomal recessive Parkinson disease 14	1	35	PLA2G6
MONDO:0010465	Kabuki syndrome 2	1	35	KDM6A
MONDO:0010664	syndromic X-linked intellectual disability Snyder type	1	35	SMS
MONDO:0014165	multiple congenital anomalies-hypotonia-seizures syndrome 3	1	35	PIGT
MONDO:0014006	intellectual disability-craniofacial dysmorphism-cryptorchidism syndrome	1	35	PACS1
MONDO:0009398	hyperphosphatasia with intellectual disability syndrome 1	1	35	PIGV
MONDO:0010472	ALG13-CDG	1	35	ALG13
MONDO:0010880	telangiectasia, hereditary hemorrhagic, type 2	1	35	ACVRL1
MONDO:0019660	Pfeiffer syndrome type 2	1	35	FGFR2
MONDO:0009079	DOORS syndrome	1	35	TBC1D24
MONDO:0007236	branchiootorenal syndrome 1	1	35	EYA1
MONDO:0011274	Muenke syndrome	1	35	FGFR3
MONDO:0008853	Barber-Say syndrome	1	35	TWIST2
MONDO:0010619	X-linked hypophosphatemic rickets	1	35	PHEX
MONDO:0009677	autosomal recessive limb-girdle muscular dystrophy type 2C	1	35	SGCG
MONDO:0009658	Sanfilippo syndrome type D	1	35	GNS
MONDO:0007244	Caffey disease	1	35	COL1A1
MONDO:0009642	orofaciodigital syndrome type II	1	35	NEK1
MONDO:0009269	geleophysic dysplasia 1	1	35	ADAMTSL2
MONDO:0010711	tarp syndrome	1	35	RBM10
MONDO:0010683	X-linked centronuclear myopathy	1	35	MTM1
MONDO:0009927	3MC syndrome 2	1	35	COLEC11
MONDO:0013308	Noonan syndrome-like disorder with juvenile myelomonocytic leukemia	1	35	CBL
MONDO:0012783	RFT1-CDG	1	35	RFT1
MONDO:0013540	deafness-lymphedema-leukemia syndrome	1	35	GATA2
MONDO:0010020	congenital generalized lipodystrophy type 2	1	35	BSCL2
MONDO:0009073	Ritscher-Schinzel syndrome 1	1	35	WASHC5
MONDO:0010281	Danon disease	1	34	LAMP2
MONDO:0007039	neurofibromatosis type 2	1	34	NF2
MONDO:0014755	skin creases, congenital symmetric circumferential, 2; CSCSC2	1	34	MAPRE2
MONDO:0009181	epidermolysis bullosa simplex with muscular dystrophy	1	34	PLEC
MONDO:0008438	hereditary spastic paraplegia 4	1	34	SPAST
MONDO:0009109	lysinuric protein intolerance	1	34	SLC7A7
MONDO:0011803	hereditary spastic paraplegia 7	1	34	SPG7
MONDO:0014811	cerebellar atrophy, visual impairment, and psychomotor retardation;	1	34	EMC1
MONDO:0012994	dopa-responsive dystonia due to sepiapterin reductase deficiency	1	34	SPR
MONDO:0008327	exfoliation syndrome	1	34	LOXL1
MONDO:0012624	acyl-CoA dehydrogenase 9 deficiency	1	34	ACAD9
MONDO:0012213	hereditary spastic paraplegia 26	1	34	B4GALNT1
MONDO:0008047	episodic ataxia type 1	1	34	KCNA1
MONDO:0013582	mosaic variegated aneuploidy syndrome 2	1	34	CEP57
MONDO:0011551	autosomal recessive dopa-responsive dystonia	1	34	TH
MONDO:0009636	mitochondrial DNA depletion syndrome 3	1	34	DGUOK
MONDO:0012563	holoprosencephaly 9	1	34	GLI2
MONDO:0016418	multiple system atrophy, cerebellar type	1	34	COQ2
MONDO:0016657	8p11.2 deletion syndrome	1	34	ANK1
MONDO:0010621	child syndrome	1	34	NSDHL
MONDO:0012613	intellectual disability, autosomal recessive 5	1	34	NSUN2
MONDO:0014773	cardiac anomalies-developmental delay-facial dysmorphism syndrome	1	34	MED13L
MONDO:0009609	methylcobalamin deficiency type cblG	1	34	MTR
MONDO:0010117	three M syndrome 1	1	34	CUL7
MONDO:0014732	hypomyelinating leukodystrophy 12	1	34	VPS11
MONDO:0007334	autosomal dominant popliteal pterygium syndrome	1	34	IRF6
MONDO:0012316	Majeed syndrome	1	34	LPIN2
MONDO:0014822	15q14 microdeletion syndrome	1	34	MEIS2
MONDO:0007100	familial amyloid neuropathy	1	34	TTR
MONDO:0014823	TBCK-related intellectual disability syndrome	1	34	TBCK
MONDO:0009490	Papillon-Lefevre disease	1	34	CTSC
MONDO:0044204	Shwachman-Diamond syndrome 1	1	34	SBDS
MONDO:0008560	thrombophilia due to activated protein C resistance	1	34	F5
MONDO:0008133	autosomal dominant optic atrophy and cataract	1	34	OPA3
MONDO:0012013	glaucoma-ectopia-microspherophakia-stiff joints-short stature syndrome	1	34	FBN1
MONDO:0009529	pyruvate dehydrogenase E3 deficiency	1	34	DLD
MONDO:0010047	hereditary spastic paraplegia 5A	1	34	CYP7B1
MONDO:0010543	Barth syndrome	1	34	TAZ
MONDO:0011688	muscular dystrophy-dystroglycanopathy type B5	1	34	FKRP
MONDO:0009818	autosomal recessive osteopetrosis 3	1	34	CA2
MONDO:0007495	dystonia 5	1	33	GCH1
MONDO:0008815	argininosuccinic aciduria	1	33	ASL
MONDO:0007615	laurin-Sandrow syndrome	1	33	LMBR1
MONDO:0014994	global developmental delay, absent or hypoplastic corpus callosum, and dysmorphic facies; GDACCF	1	33	ZNF148
MONDO:0014946	Sifrim-Hitz-Weiss syndrome; SIHIWES	1	33	CHD4
MONDO:0008477	spondylometaphyseal dysplasia, Kozlowski type	1	33	TRPV4
MONDO:0014020	hereditary spastic paraplegia 55	1	33	C12orf65
MONDO:0009509	Landau-Kleffner syndrome	1	33	GRIN2A
MONDO:0007636	frontorhiny	1	33	ALX3
MONDO:0014200	aldosterone-producing adenoma with seizures and neurological abnormalities	1	33	CACNA1D
MONDO:0010953	Fanconi anemia complementation group E	1	33	FANCE
MONDO:0014455	cataract-growth hormone deficiency-sensory neuropathy-sensorineural hearing loss-skeletal dysplasia syndrome	1	33	IARS2
MONDO:0010194	Weill-Marchesani syndrome 1	1	33	ADAMTS10
MONDO:0011623	spinocerebellar ataxia, autosomal recessive 1	1	33	SETX
MONDO:0012930	autosomal recessive severe congenital neutropenia due to G6PC3 deficiency	1	33	G6PC3
MONDO:0011759	Hurler-Scheie syndrome	1	33	IDUA
MONDO:0014144	autosomal recessive limb-girdle muscular dystrophy type 2S	1	33	TRAPPC11
MONDO:0013426	aneurysm-osteoarthritis syndrome	1	33	SMAD3
MONDO:0016849	Nakajo-Nishimura syndrome	1	33	PSMB8
MONDO:0008156	autosomal dominant osteopetrosis 2	1	33	CLCN7
MONDO:0013951	peroxisome biogenesis disorder 12A (Zellweger)	1	33	PEX19
MONDO:0008224	hyperkalemic periodic paralysis	1	33	SCN4A
MONDO:0010512	intellectual disability, X-linked, syndromic, bain type; MRXSB	1	33	HNRNPH2
MONDO:0008612	tuberous sclerosis 1	1	32	TSC1
MONDO:0009486	autosomal recessive Kenny-Caffey syndrome	1	32	TBCE
MONDO:0010574	syndromic X-linked intellectual disability 5	1	32	AP1S2
MONDO:0009626	pseudo-TORCH syndrome	1	32	OCLN
MONDO:0010027	free sialic acid storage disease, infantile form	1	32	SLC17A5
MONDO:0012774	chromosome 15q13.3 microdeletion syndrome	1	32	CHRNA7
MONDO:0009411	autoimmune polyendocrine syndrome type 1	1	32	AIRE
MONDO:0009266	Gaucher disease type II	1	32	GBA
MONDO:0009214	Fanconi anemia complementation group D2	1	32	FANCD2
MONDO:0009215	Fanconi anemia complementation group A	1	32	FANCA
MONDO:0018919	McCune-Albright syndrome	1	32	GNAS
MONDO:0009666	holocarboxylase synthetase deficiency	1	32	HLCS
MONDO:0011457	ataxia-telangiectasia-like disorder	1	32	MRE11
MONDO:0016331	infantile systemic hyalinosis	1	32	ANTXR2
MONDO:0012651	spastic ataxia 2	1	32	KIF1C
MONDO:0016561	1q44 microdeletion syndrome	1	32	HNRNPU
MONDO:0010188	familial isolated deficiency of vitamin E	1	32	TTPA
MONDO:0013456	constitutional megaloblastic anemia with severe neurologic disease	1	32	DHFR
MONDO:0018473	hyperlipoproteinemia type 3	1	32	APOE
MONDO:0044328	short-rib thoracic dysplasia 20 with polydactyly	1	32	INTU
MONDO:0013223	autosomal recessive spondylometaphyseal dysplasia, MC)garbanC) type	1	32	PAM16
MONDO:0011359	acromelic frontonasal dysostosis	1	32	ZSWIM6
MONDO:0010441	CK syndrome	1	32	NSDHL
MONDO:0012222	alpha-N-acetylgalactosaminidase deficiency type 2	1	32	NAGA
MONDO:0013392	autosomal recessive spinocerebellar ataxia 10	1	32	ANO10
MONDO:0009213	Fanconi anemia complementation group C	1	32	FANCC
MONDO:0011134	curry-Jones syndrome	1	32	SMO
MONDO:0011337	familial hemophagocytic lymphohistiocytosis 2	1	32	PRF1
MONDO:0024457	neurodegeneration with brain iron accumulation 2A	1	32	PLA2G6
MONDO:0012071	congenital generalized lipodystrophy type 1	1	32	AGPAT2
MONDO:0014464	progressive encephalopathy with leukodystrophy due to DECR deficiency	1	32	NADK2
MONDO:0012756	proximal 16p11.2 microdeletion syndrome	1	32	SH2B1
MONDO:0017407	deficiency in anterior pituitary function-variable immunodeficiency syndrome	1	31	NFKB2
MONDO:0024567	hypotonia, infantile, with psychomotor retardation and characteristic facies 1	1	31	NALCN
MONDO:0012892	connective tissue disorder due to lysyl hydroxylase-3 deficiency	1	31	PLOD3
MONDO:0016988	hyperinsulinism due to HNF4A deficiency	1	31	HNF4A
MONDO:0013005	EAST syndrome	1	31	KCNJ10
MONDO:0011790	Amish lethal microcephaly	1	31	SLC25A19
MONDO:0013647	primary microcephaly-epilepsy-permanent neonatal diabetes syndrome	1	31	IER3IP1
MONDO:0013127	asphyxiating thoracic dystrophy 3	1	31	DYNC2H1
MONDO:0013835	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 7	1	31	ISPD
MONDO:0019946	ligneous conjunctivitis	1	31	PLG
MONDO:0010396	epileptic encephalopathy, early infantile, 2	1	31	CDKL5
MONDO:0015749	6q16 deletion syndrome	1	31	SIM1
MONDO:0014896	congenital muscular dystrophy-respiratory failure-skin abnormalities-joint hyperlaxity syndrome	1	31	TRIP4
MONDO:0014838	Coffin-Siris syndrome 5	1	31	SMARCE1
MONDO:0008644	velocardiofacial syndrome	1	31	TBX1
MONDO:0013638	Warburg micro syndrome 3	1	31	RAB18
MONDO:0014553	Tenorio syndrome	1	31	RNF125
MONDO:0012221	alpha-N-acetylgalactosaminidase deficiency type 1	1	31	NAGA
MONDO:0012833	Crouzon syndrome-acanthosis nigricans syndrome	1	31	FGFR3
MONDO:0012980	endocrine-cerebro-osteodysplasia syndrome	1	31	ICK
MONDO:0012512	fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3	1	31	TSFM
MONDO:0013969	combined oxidative phosphorylation defect type 11	1	31	RMND1
MONDO:0011397	autosomal dominant cerebellar ataxia, deafness and narcolepsy	1	31	DNMT1
MONDO:0014787	severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome	1	31	FRMD4A
MONDO:0009742	neuroectodermal melanolysosomal disease	1	31	MYO5A
MONDO:0007922	lymphedema-distichiasis syndrome	1	31	FOXC2
MONDO:0009657	Sanfilippo syndrome type C	1	31	HGSNAT
MONDO:0014748	progressive spondyloepimetaphyseal dysplasia-short stature-short fourth metatarsals-intellectual disability syndrome	1	31	RSPRY1
MONDO:0009747	Navajo neurohepatopathy	1	31	MPV17
MONDO:0008033	autosomal dominant limb-girdle muscular dystrophy type 1B	1	31	LMNA
MONDO:0014791	Luscan-Lumish syndrome; LLs	1	31	SETD2
MONDO:0012519	Rubinstein-Taybi syndrome due to 16p13.3 microdeletion	1	31	CREBBP
MONDO:0013659	microcephaly-capillary malformation syndrome	1	31	STAMBP
MONDO:0013745	Joubert syndrome 14	1	31	TMEM237
MONDO:0007846	KBG syndrome	1	31	ANKRD11
MONDO:0013154	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A2	1	31	POMT2
MONDO:0014794	Meier-Gorlin syndrome 6	1	31	GMNN
MONDO:0014744	acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome	1	31	SCYL1
MONDO:0011939	Spondyloenchondrodysplasia with immune dysregulation	1	31	ACP5
MONDO:0009465	multiple intestinal atresia	1	31	TTC7A
MONDO:0016459	2q23.1 microdeletion syndrome	1	31	MBD5
MONDO:0010437	severe X-linked mitochondrial encephalomyopathy	1	31	AIFM1
MONDO:0009165	Aicardi-Goutieres syndrome 1	1	31	TREX1
MONDO:0011730	fumaric aciduria	1	31	FH
MONDO:0009998	Richieri Costa-Pereira syndrome	1	31	EIF4A3
MONDO:0008152	multicentric carpo-tarsal osteolysis with or without nephropathy	1	30	MAFB
MONDO:0012912	pseudopseudohypoparathyroidism	1	30	GNAS
MONDO:0013401	hereditary spastic paraplegia 51	1	30	AP4E1
MONDO:0019454	myelodysplastic syndrome with excess blasts	1	30	TET2
MONDO:0014918	tall stature-intellectual disability-renal anomalies syndrome	1	30	FIBP
MONDO:0007606	fibrodysplasia ossificans progressiva	1	30	ACVR1
MONDO:0009140	Silverman-Handmaker type dyssegmental dysplasia	1	30	HSPG2
MONDO:0044312	immunoskeletal dysplasia with neurodevelopmental abnormalities	1	30	EXTL3
MONDO:0012124	sudden infant death-dysgenesis of the testes syndrome	1	30	TSPYL1
MONDO:0014964	encephalopathy, progressive, early-onset, with brain atrophy and thin corpus callosum; PEBAT	1	30	TBCD
MONDO:0013822	acrodysostosis 2 with or without hormone resistance	1	30	PDE4D
MONDO:0008842	ataxia with oculomotor apraxia type 1	1	30	APTX
MONDO:0009705	carnitine palmitoyl transferase 1A deficiency	1	30	CPT1A
MONDO:0010717	pyruvate dehydrogenase E1-alpha deficiency	1	30	PDHA1
MONDO:0012554	cerebrooculofacioskeletal syndrome 4	1	30	ERCC1
MONDO:0010533	Arts syndrome	1	30	PRPS1
MONDO:0010060	infantile onset spinocerebellar ataxia	1	30	TWNK
MONDO:0019148	Wolman disease	1	30	LIPA
MONDO:0007508	Rapp-Hodgkin syndrome	1	30	TP63
MONDO:0013800	Ehlers-Danlos syndrome, kyphoscoliotic and deafness type	1	30	FKBP14
MONDO:0013179	hereditary spastic paraplegia 44	1	30	GJC2
MONDO:0012784	autosomal recessive ataxia due to ubiquinone deficiency	1	30	COQ8A
MONDO:0010735	Kennedy disease	1	30	AR
MONDO:0014361	autism spectrum disorder due to AUTS2 deficiency	1	30	AUTS2
MONDO:0008504	supravalvular aortic stenosis (disease)	1	30	ELN
MONDO:0009578	neurocutaneous melanocytosis	1	30	NRAS
MONDO:0007982	metaphyseal chondrodysplasia, Jansen type	1	30	PTH1R
MONDO:0017571	Proteus-like syndrome	1	30	PTEN
MONDO:0008682	Denys-Drash syndrome	1	30	WT1
MONDO:0010161	tyrosinemia type I	1	30	FAH
MONDO:0013754	cutis laxa, autosomal recessive, type 1B	1	30	EFEMP2
MONDO:0011997	Hermansky-Pudlak syndrome 2	1	30	AP3B1
MONDO:0024552	linear skin defects with multiple congenital anomalies 1	1	30	HCCS
MONDO:0013171	purine nucleoside phosphorylase deficiency	1	30	PNP
MONDO:0007240	progressive familial heart block, type 1A	1	30	SCN5A
MONDO:0013819	intellectual disability, autosomal dominant 14	1	30	ARID1A
MONDO:0005048	pancreatic insulin-producing neuroendocrine tumor	1	30	MEN1
MONDO:0007836	IVIC syndrome	1	30	SALL4
MONDO:0009746	hereditary sensory and autonomic neuropathy type 4	1	30	NTRK1
MONDO:0008032	autosomal dominant limb-girdle muscular dystrophy type 1A	1	30	MYOT
MONDO:0013178	congenital muscular dystrophy due to LMNA mutation	1	30	LMNA
MONDO:0008305	Currarino triad	1	30	MNX1
MONDO:0019675	spondyloepimetaphyseal dysplasia with joint laxity	1	30	B3GALT6
MONDO:0014632	hypomyelinating leukodystrophy 10	1	30	PYCR2
MONDO:0008943	autosomal recessive spinocerebellar ataxia 2	1	30	PMPCA
MONDO:0008437	hereditary spastic paraplegia 3A	1	30	ATL1
MONDO:0009297	familial renal glucosuria	1	30	SLC5A2
MONDO:0014376	intellectual disability, autosomal dominant 27	1	30	SOX11
MONDO:0010016	sclerosteosis 1	1	30	SOST
MONDO:0014700	neurodevelopmental disorder-craniofacial dysmorphism-cardiac defect-hip dysplasia syndrome due to a point mutation	1	30	HNRNPK
MONDO:0009954	Ramon syndrome	1	30	ELMO2
MONDO:0013160	muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B2	1	30	POMT2
MONDO:0008919	systemic primary carnitine deficiency disease	1	29	SLC22A5
MONDO:0020352	multiple system atrophy, parkinsonian type	1	29	COQ2
MONDO:0010810	vitamin D hydroxylation-deficient rickets, type 1B	1	29	CYP2R1
MONDO:0016833	14q12 microdeletion syndrome	1	29	FOXG1
MONDO:0007561	multiple epiphyseal dysplasia type 1	1	29	COMP
MONDO:0024537	Brown-Vialetto-van Laere syndrome 1	1	29	SLC52A3
MONDO:0012536	osteogenesis imperfecta type 7	1	29	CRTAP
MONDO:0009894	short-rib thoracic dysplasia 6 with or without polydactyly	1	29	NEK1
MONDO:0011383	autoimmune lymphoproliferative syndrome type 2A	1	29	CASP10
MONDO:0013025	chromosome 6q24-q25 deletion syndrome	1	29	ARID1B
MONDO:0010699	Charcot-Marie-tooth disease X-linked recessive 5	1	29	PRPS1
MONDO:0014944	short stature-brachydactyly-obesity-global developmental delay syndrome	1	29	PRMT7
MONDO:0020531	long chain acyl-CoA dehydrogenase deficiency	1	29	ACADL
MONDO:0014806	spinal muscular atrophy with congenital bone fractures 1	1	29	TRIP4
MONDO:0009966	NPHP3-related Meckel-like syndrome	1	29	NPHP3
MONDO:0007983	Schmid metaphyseal chondrodysplasia	1	29	COL10A1
MONDO:0010463	X-linked dominant chondrodysplasia, Chassaing-Lacombe type	1	29	HDAC6
MONDO:0009260	GM1 gangliosidosis type 1	1	29	GLB1
MONDO:0010545	Nance-Horan syndrome	1	29	NHS
MONDO:0014803	spasticity-ataxia-gait anomalies syndrome	1	29	GLRX5
MONDO:0009203	focal facial dermal dysplasia type III	1	29	TWIST2
MONDO:0013889	short stature-optic atrophy-Pelger-HuC+t anomaly syndrome	1	29	NBAS
MONDO:0009069	congenital lactic acidosis, Saguenay-Lac-saint-Jean type	1	29	LRPPRC
MONDO:0010490	SSR4-CDG	1	29	SSR4
MONDO:0010225	Dent disease type 1	1	29	CLCN5
MONDO:0012562	holoprosencephaly 7	1	29	PTCH1
MONDO:0013551	hereditary spastic paraplegia 47	1	29	AP4B1
MONDO:0013459	osteogenesis imperfecta type 10	1	29	SERPINH1
MONDO:0017782	developmental and speech delay due to SOX5 deficiency	1	29	SOX5
MONDO:0014063	mitochondrial complex III deficiency nuclear type 2	1	29	TTC19
MONDO:0012611	polyhydramnios, megalencephaly, and symptomatic epilepsy	1	29	STRADA
MONDO:0014893	Okur-Chung neurodevelopmental syndrome; OCNDS	1	29	CSNK2A1
MONDO:0008822	arthrogryposis, renal dysfunction, and cholestasis 1	1	29	VPS33B
MONDO:0014343	Desbuquois dysplasia 2	1	29	XYLT1
MONDO:0011760	Scheie syndrome	1	29	IDUA
MONDO:0013594	spinocerebellar ataxia type 36	1	29	NOP56
MONDO:0014306	vasculitis due to ADA2 deficiency	1	29	ADA2
MONDO:0011017	Naxos disease	1	29	JUP
